type,name,value
MLRS,Europe,0.19647207745686035
MLRS,United States,0.58797620817
Howitzers (155/152mm),Europe,2.6032692105826527
Howitzers (155/152mm),United States,0.9618261715421305
Armored Fighting Vehicles,Europe,2.7538793190507804
Armored Fighting Vehicles,United States,2.623325127508
Ammunition (heavy weapons),Europe,3.308487642427945
Ammunition (heavy weapons),United States,6.789534602
Anti-Aircraft Systems,Europe,5.507549453737602
Anti-Aircraft Systems,United States,1.0879749130017253
